imdb_code,title,return_pct,Adult,Talk-Show,News,Sport,Music,War,Biography,History,Musical,Mystery,Romance,Horror,Short,Documentary,Western,Crime,Family,Comedy,Animation,N/A,Thriller,Sci-Fi,Fantasy,Drama,Adventure,Action,Genre_List
tt0978764,Sucker Punch,19.677851999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt3062096,Inferno,192.69248933333336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Crime']"
tt2293640,Minions,1467.069108108108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt2279373,The SpongeBob Movie: Sponge Out of Water,320.28808243243236,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Animation']"
tt1985949,The Angry Birds Movie,382.64094109589035,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0462538,The Simpsons Movie,626.9945131034483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0770752,Fool's Gold,50.8454703448276,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt0431197,The Kingdom,19.727526896551726,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,"['Action', 'Drama', 'Thriller']"
tt1231580,Alvin and the Chipmunks: The Squeakquel,533.5474471428572,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt7349950,It: Chapter Two,570.8097228571429,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,"['Drama', 'Fantasy', 'Horror']"
tt9108974,Ocean’s 8,325.3124442857143,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"['Documentary', 'Short']"
tt0361748,Inglourious Basterds,352.73609142857146,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,"['Adventure', 'Drama', 'War']"
tt5657846,Daddy’s Home 2,151.15311857142856,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,['Comedy']
